sid,search,"splunk_server","_time","is_realtime","ui_dispatch_view","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_ui_dispatch_view","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt","__mv_savedsearch_name"
"1335946093.7","search source=""/home/bigjava/Downloads/bigjava.com"" req_time=""26/Apr/2012:15:46:40 +0000""","linux-ahv8.site-bigjava","1335946093.720557",0,flashtimeline,28,1335946094,28,40,completed,"1.150000",,,,,,,,,,,,,,,,,,,,,,
"1335946250.11","search source=""/home/bigjava/Downloads/bigjava.com"" req_time=""26/Apr/2012:15:46:40 +0000""","linux-ahv8.site-bigjava","1335946250.745494",0,flashtimeline,28,1335946251,28,40,completed,"1.371000",,,,,,,,,,,,,,,,,,,,,,
"1335946364.2","| metadata type=sources | sort -totalCount","linux-ahv8.site-bigjava","1335946365.025984",0,"all_data_dashboard",0,1335946365,4,0,completed,"0.253000",,,,,,,,,,,,,,,,,,,,,,
"1335946365.3","| metadata type=sourcetypes | sort 300 -totalCount","linux-ahv8.site-bigjava","1335946365.061321",0,"all_data_dashboard",0,1335946365,4,0,completed,"0.402000",,,,,,,,,,,,,,,,,,,,,,
"1335946365.4","| metadata type=hosts | sort 300 -totalCount","linux-ahv8.site-bigjava","1335946365.086230",0,"all_data_dashboard",0,1335946365,2,0,completed,"0.242000",,,,,,,,,,,,,,,,,,,,,,
"1335946579.16","| metadata type=sources | sort -totalCount","linux-ahv8.site-bigjava","1335946579.691967",0,"all_data_dashboard",0,1335946579,4,0,completed,"0.233000",,,,,,,,,,,,,,,,,,,,,,
"1335946579.17","| metadata type=sourcetypes | sort 300 -totalCount","linux-ahv8.site-bigjava","1335946579.736533",0,"all_data_dashboard",0,1335946579,4,0,completed,"0.243000",,,,,,,,,,,,,,,,,,,,,,
"1335946579.18","| metadata type=hosts | sort 300 -totalCount","linux-ahv8.site-bigjava","1335946579.880114",0,"all_data_dashboard",0,1335946579,2,0,completed,"0.225000",,,,,,,,,,,,,,,,,,,,,,
"1335946585.19","search source=""/home/bigjava/Downloads/bigjava.com""","linux-ahv8.site-bigjava","1335946585.392306",0,flashtimeline,1098,1335946585,1098,1098,completed,"3.500000",,,,,,,,,,,,,,,,,,,,,,
"1335946607.20","search sourcetype=""apm_log"" ""New session"" | rex field=_raw ""\(ST=(?<geo_state>.*)/CC=(?<geo_country>.*)/C=(?<geo_region>.*)\) at VIP (?<vip>\\d+\.\\d+\.\\d+\.\\d+)"" | where len(geo_state) > 0 | chart count over geo_state by geo_country","linux-ahv8.site-bigjava","1335946607.894538",0,"APM_dashboard",0,1335946609,0,0,canceled,"3.733000","1335859200.000000000","1335946607.000000000","1335859200.000000000","1335946607.000000000",,,,,,,,,,,,,,,,,,
"1335946607.21","search sourcetype=""apm_log"" ""New session"" | rex field=_raw ""\(ST=(?<geo_state>.*)/CC=(?<geo_country>.*)/C=(?<geo_region>.*)\) at VIP (?<vip>\\d+\.\\d+\.\\d+\.\\d+)"" | where len(geo_country) > 0 | chart count over geo_country by geo_region","linux-ahv8.site-bigjava","1335946607.939334",0,"APM_dashboard",0,1335946609,0,0,completed,"3.661000","1335859200.000000000","1335946607.000000000","1335859200.000000000","1335946607.000000000",,,,,,,,,,,,,,,,,,
"1335946608.22","search sourcetype=""apm_log"" ""New session"" | rex field=_raw ""\(ST=(?<geo_state>.*)/CC=(?<geo_country>.*)/C=(?<geo_region>.*)\) at VIP (?<vip>\\d+\.\\d+\.\\d+\.\\d+)"" | where len(geo_region) > 0 | chart count by geo_region | sort - count","linux-ahv8.site-bigjava","1335946608.105294",0,"APM_dashboard",0,1335946609,0,0,completed,"3.565000","1335859200.000000000","1335946608.000000000","1335859200.000000000","1335946608.000000000",,,,,,,,,,,,,,,,,,
"1335946608.23","search sourcetype=""apm_log"" User=""*"" | chart count by User | sort - count","linux-ahv8.site-bigjava","1335946608.163219",0,"APM_dashboard",0,1335946609,0,0,completed,"3.517000","1335859200.000000000","1335946608.000000000","1335859200.000000000","1335946608.000000000",,,,,,,,,,,,,,,,,,
"1335946608.24","search sourcetype=""apm_log"" DeviceType=""*"" | chart count by DeviceType | sort - count","linux-ahv8.site-bigjava","1335946608.182005",0,"APM_dashboard",0,1335946609,0,0,completed,"3.519000","1335859200.000000000","1335946608.000000000","1335859200.000000000","1335946608.000000000",,,,,,,,,,,,,,,,,,
"1335946608.25","search sourcetype=""apm_log"" ((New session) OR (Session deleted)) | transaction session_id startswith=""New session"" endswith=""Session deleted"" keepevicted=t| concurrency duration=duration | eval duration=tostring(duration, ""duration"") | fields session_id, duration, concurrency | chart max(concurrency) over _time","linux-ahv8.site-bigjava","1335946608.238801",0,"APM_dashboard",0,1335946610,0,0,completed,"3.538000","1335859200.000000000","1335946608.000000000","1335859200.000000000","1335946608.000000000",,,,,,,,,,,,,,,,,,
"1335946613.26","search sourcetype=""apm_log"" statistics NOT ""0,"" | rex field=_raw ""bytes in: (?<bytes_in>\\d+), bytes out: (?<bytes_out>\\d+)"" | table _time, bytes_in, bytes_out","linux-ahv8.site-bigjava","1335946613.662602",0,"APM_dashboard",0,1335946615,0,0,completed,"3.148000","1335859200.000000000","1335946613.000000000","1335859200.000000000","1335946613.000000000",,,,,,,,,,,,,,,,,,
"1335946613.27","search sourcetype=""apm_log"" session.user.agent | rex field=_raw ""session.user.agent is (?<user_agent>.*$)"" | stats count by user_agent | sort - count","linux-ahv8.site-bigjava","1335946613.823151",0,"APM_dashboard",0,1335946615,0,0,completed,"3.079000","1335859200.000000000","1335946613.000000000","1335859200.000000000","1335946613.000000000",,,,,,,,,,,,,,,,,,
"1335946613.28","search sourcetype=""apm_log"" ""Access policy result:"" | rex field=_raw ""Access policy result: (?<access_type>.*$)"" | chart count by access_type","linux-ahv8.site-bigjava","1335946613.879094",0,"APM_dashboard",0,1335946615,0,0,completed,"3.483000","1335859200.000000000","1335946613.000000000","1335859200.000000000","1335946613.000000000",,,,,,,,,,,,,,,,,,
"1335946613.29","search sourcetype=""apm_log"" Username | rex field=_raw ""Username '(?<login_name>.\\S+)'"" | where len(login_name) > 0 | stats count by login_name | sort - count","linux-ahv8.site-bigjava","1335946614.011605",0,"APM_dashboard",0,1335946615,0,0,completed,"3.593000","1335859200.000000000","1335946613.000000000","1335859200.000000000","1335946613.000000000",,,,,,,,,,,,,,,,,,
"1335946614.30","search sourcetype=""apm_log"" Username | rex field=_raw ""Username '(?<username>.\\S+)'"" | where len(username) > 0 | join session_id [search sourcetype=""apm_log"" statistics NOT ""0,"" | rex field=_raw ""bytes in: (?<bytes_in>\\d+), bytes out: (?<bytes_out>\\d+)"" | eval throughput=bytes_in+bytes_out ] | chart max(throughput) over username | sort - max(throughput)","linux-ahv8.site-bigjava","1335946614.121693",0,"APM_dashboard",0,1335946615,0,0,completed,"4.002000","1335859200.000000000","1335946614.000000000","1335859200.000000000","1335946614.000000000",,,,,,,,,,,,,,,,,,
"1335946614.31","search sourcetype=""apm_log"" session.client.browscap_info | chart count over ctype by cplatform","linux-ahv8.site-bigjava","1335946614.321718",0,"APM_dashboard",0,1335946616,0,0,completed,"3.048000","1335859200.000000000","1335946614.000000000","1335859200.000000000","1335946614.000000000",,,,,,,,,,,,,,,,,,
"1335946618.32","search sourcetype=""apm_log"" ""Access policy result:"" | rex field=_raw ""Access policy result: (?<access_type>.*$)"" | chart count(eval(access_type=""Logon_Deny"")) AS ""Auth Failed"", count(eval(NOT access_type=""Logon_Deny"")) AS ""Auth Success"" by host","linux-ahv8.site-bigjava","1335946619.090991",0,"APM_dashboard",0,1335946620,0,0,completed,"1.573000","1335859200.000000000","1335946618.000000000","1335859200.000000000","1335946618.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__SplunkforF5Access_RjUgLSBBUE0gICAtICBHZW9sb2NhdGlvbiBieSBzdGF0ZSAgLSBSZXBvcnQ_1335946622.34","search sourcetype=""apm_log"" ""New session"" | rex field=_raw ""\(ST=(?<geo_state>.*)/CC=(?<geo_country>.*)/C=(?<geo_region>.*)\) at VIP (?<vip>\\d+\.\\d+\.\\d+\.\\d+)"" | where len(geo_state) > 0 | chart count over geo_state by geo_country","linux-ahv8.site-bigjava","1335946622.403475",0,"APM_dashboard",0,1335946622,0,0,completed,"1.118000","1335943022.000000000","1335946622.000000000","1335943022.000000000","1335946622.000000000","F5 - APM   -  Geolocation by state  - Report",,,,,,,,,,,,,,,,,
